Drug_Name,Purpose,Indications,Warnings
arginine,USES: Temporarily relieves these symptoms due to aging and/or a run-down condition: • low energy • poor muscle/fat balance • occasional sleeplessness,USES: Temporarily relieves these symptoms due to aging and/or a run-down condition: • low energy • poor muscle/fat balance • occasional sleeplessness,"WARNINGS: Do not use if you have ever had an allergic reaction to this product or any of its ingredients. Ask a doctor before use if you have consistent sleeplessness that persists for more than two weeks. Stop use and ask a doctor if symptoms persist, worsen or if new symptoms occur. Keep out of reach of children. In case of overdose, get medical help or call a Poison Control Center right away. If pregnant or breast-feeding, ask a health professional before using product. Do not use if TAMPER EVIDENT seal around neck of bottle is missing or broken. Store at room temperature."
benzyl,Purpose Topical Anasthetic Purpose Topical Anesthetic,Uses Temporary Pain Relief,"Warnings For external Use Only Do not use in eyes in large quantities over raw or blistered areas, or on deep puncture wounds, animal bites, or serious burns for more than one week unless directed by a doctor"
betaine,"USES Supports mental and emotional balance, useful in cases of: • Difficulty concentrating • Restlessness • Irritability",Take 15 minutes before meals,"WARNINGS Stop use and ask doctor if symptoms persist more than 5 days or worsen. If pregnant or breast-feeding ask a health professional before use. Keep out of reach of children . In case of overdose, get medical help or contact a Poison Control Center right away. Contains ethyl alcohol 30%"
calcium,,1 INDICATIONS AND USAGE Calcium acetate is a phosphate binder indicated to reduce serum phosphorus in patients with end stage renal disease (ESRD). Calcium acetate is a phosphate binder indicated for the reduction of serum phosphorus in patients with end stage renal disease. ( 1 ),
chloramphenicol,,,
bile,Regulates energy flow in the large intestine meridian.,INDICATIONS Regulates energy flow in the large intestine meridian.,Warnings Use only if cap seal is unbroken. As with drugs if you are pregnant or nursing a baby seek professional advice before using this product. Keep this and all medication out of the reach of children. To be used according to standard homeopathic indications.
choline,Purpose Pain Reliever Aid Pain Reliever / Fever Reducer ( NSAID) *nonsteroidal anti-inflammatory drug,Uses temporarily relieves minor aches and pains due to: ○ headache ○ minor arthritis pain ○ muscle aches ○ menstrual cramps ○ backache temporarily reduces fever,"Warnings Reye's syndrome Children and teenagers who have or are recovering from chicken pox or flu-like symptoms should not use this product. When using this product, if changes in behavior with nausea and vomiting occur, consult a doctor because these symptoms could be an early sign of Reye's syndrome, a rare but serious illness. Allergy alert Salicylates (NSAIDs) may cause a severe allergic reaction which may include: hives skin reddening rash facial swelling shock asthma (wheezing) Stomach bleeding warning This product contains an NSAID, which may cause severe stomach bleeding. The chance is higher if you: are age 60 or older have had stomach ulcers or bleeding problems take blood thinning (anticoagulant) or steroid drug take other drugs containing prescription or nonprescription NSAIDs (aspirin, ibuprofen, naproxen, or others) have 3 or more alcoholic drinks every day while using this product take more or for a longer time than directed Do not use if you ever had an allergic reaction to salicylates (including aspirin) or any other pain reliever/ fever reducer. Ask a doctor before use if stomach bleeding warning applies to you you have high blood pressure, heart disease, liver cirrhosis, or kidney disease you are taking a diuretic you have a history of stomach problems such as heartburn, upset stomach, stomach pain, or ulcers you have asthma Ask a doctor or pharmacist before use if under a doctor's care for any serious condition taking a prescription drug for diabetes, gout, or arthritis. When using this product limit the use of caffeine-containing medications, foods, or beverages because too much caffeine may cause nervousness, irritability, sleeplessness, and occasionally, rapid heart beat the recommended dose of this product contains about as much caffeine as a cup of coffee take with food or milk if stomach upset occurs Stop use and ask a doctor if an allergic reaction occurs. Seek medical help right away. you experience any of the following signs of stomach bleeding: ○ feel faint ○ vomit blood ○ have bloody or black stools ○ have stomach pain that does not get better symptoms do not improve pain gets worse or lasts more than 10 days ringing in the ears or loss of hearing occurs redness or swelling is present new symptoms occur fever gets worse or lasts more than 3 days If pregnant or breast-feeding, ask a health professional before use. It is especially important not to use salicylates (NSAIDs) during the last 3 months of pregnancy unless definitely directed to do so by a doctor because it may cause problems in the unborn child or complications during delivery. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away."
citric,,1 INDICATIONS AND USAGE ANTICOAGULANT CITRATE DEXTROSE SOLUTION USP (ACD) SOLUTION A is an anticoagulant intended for use only with devices that prepare Platelet Rich Plasma (PRP) products for extracorporeal use. [See Dosage and Administration (2) .] ANTICOAGULANT CITRATE DEXTROSE SOLUTION USP (ACD) SOLUTION A is an anticoagulant intended for use only with devices that prepare Platelet Rich Plasma (PRP) products for extracorporeal use. See the device operator's manual for additional information and complete usage instructions. ( 1 ),
chloride,Purpose Antibacterial,Use For handwashing to decrease bacteria on the skin,Warnings For external use only: hands only
salicylate,Purpose Menthol - Topical analgesic Methyl salicylate - Topical analgesic,Uses temporarily relieves minor aches and pains of muscles and joints due to arthritis simple backache strains sprains,"Warnings For external use only When using this product use only as directed do not get into eyes or on mucous membranes do not apply to wounds or to damaged skin do not bandage tightly do not use with a heating pad, other heat sources, or right after a shower/bath do not use in combination with other external analgesic products Stop use and ask a doctor if condition worsens excessive irritation, burning or discomfort of the skin develops symptoms persist for more than 7 days or clear up and occur again within a few days"
D-cycloserine,,"INDICATIONS AND USAGE Supplementation of the diet with vitamins A, C and D. Tri-Vite Drops with Fluoride 0.25 mg also provides fluoride for caries prophylaxis. The American Academy of Pediatrics recommends that children up to age 16, in areas where drinking water contains less than optimal levels of fluoride, receive daily fluoride supplementation. The American Academy of Pediatrics recommend that infants and young children 6 months to 3 years of age, in areas where the drinking water contains less than 0.3 ppm of fluoride, and children 3-6 years of age, in areas where the drinking water contains 0.3 through 0.6 ppm of fluoride, receive 0.25 mg of supplemental fluoride daily which is provided in a dose of 1 mL of Tri-Vite Drops with Fluoride 0.25 mg (See Dosage and Administration ). Tri-Vite Drops with Fluoride 0.25 mg supply significant amounts of vitamins A, C and D to supplement the diet, and to help assure that nutritional deficiencies of these vitamins will not develop. Thus, in a single easy-to-use preparation, children obtain essential vitamins and fluoride.","WARNINGS As in the case of all medications, keep out of reach of children."
bupropion,,"1 INDICATIONS AND USAGE Bupropion hydrochloride extended-release tablets (XL) are an aminoketone antidepressant, indicated for: treatment of major depressive disorder (MDD) (1.1) prevention of seasonal affective disorder (SAD) ( 1.2) 1.1 Major Depressive Disorder (MDD) Bupropion hydrochloride extended-release tablets (XL) are indicated for the treatment of major depressive disorder (MDD), as defined by the Diagnostic and Statistical Manual (DSM). The efficacy of the immediate-release formulation of bupropion was established in two 4-week controlled inpatient trials and one 6-week controlled outpatient trial of adult patients with MDD. The efficacy of the sustained-release formulation of bupropion in the maintenance treatment of MDD was established in a long-term (up to 44 weeks), placebo-controlled trial in patients who had responded to bupropion in an 8-week study of acute treatment [see Clinical Studies (14.1) ]. 1.2 Seasonal Affective Disorder (SAD) Bupropion hydrochloride extended-release tablets (XL) are indicated for the prevention of seasonal major depressive episodes in patients with a diagnosis of seasonal affective disorder (SAD). The efficacy of bupropion hydrochloride extended-release tablets in the prevention of seasonal major depressive episodes was established in 3 placebo-controlled trials in adult outpatients with a history of MDD with an autumn-winter seasonal pattern as defined in the DSM [see Clinical Studies (14.2) ].",
estradiol,,"1 INDICATIONS AND USAGE Iclevia TM (levonorgestrel and ethinyl estradiol tablets) is indicated for use by females of reproductive potential to prevent pregnancy. Iclevia is a combination of levonorgestrel, a progestin, and ethinyl estradiol, an estrogen, indicated for use by females of reproductive potential to prevent pregnancy. ( 1 )",
mannitol,,"1 INDICATIONS AND USAGE OSMITROL is indicated for: • The reduction of intracranial pressure and treatment of cerebral edema; • The reduction of elevated intraocular pressure. OSMITROL is an osmotic diuretic, indicated for the reduction of: • intracranial pressure and treatment of cerebral edema. ( 1 ) • elevated intraocular pressure. ( 1 )",
N-acetylcysteine,,1 INDICATIONS AND USAGE Acetylcysteine Injection is indicated to prevent or lessen hepatic injury after ingestion of a potentially hepatotoxic quantity of acetaminophen in patients with acute ingestion or from repeated supratherapeutic ingestion (RSI). Acetylcysteine Injection is an antidote for acetaminophen overdose indicated to prevent or lessen hepatic injury after ingestion of a potentially hepatotoxic quantity of acetaminophen in patients with an acute ingestion or from repeated supratherapeutic ingestion (RSI) ( 1 ).,
cytarabine,,INDICATIONS AND USAGE Cytarabine Injection in combination with other approved anticancer drugs is indicated for remission induction in acute non-lymphocytic leukemia of adults and children. It has also been found useful in the treatment of acute lymphocytic leukemia and the blast phase of chronic myelocytic leukemia. Intrathecal administration of Cytarabine Injection is indicated in the prophylaxis and treatment of meningeal leukemia.,"WARNINGS ( See boxed WARNING ) Cytarabine is a potent bone marrow suppressant. Therapy should be started cautiously in patients with pre-existing drug-induced bone marrow suppression. Patients receiving this drug must be under close medical supervision and, during induction therapy, should have leucocyte and platelet counts performed daily. Bone marrow examinations should be performed frequently after blasts have disappeared from the peripheral blood. Facilities should be available for management of complications, possibly fatal, of bone marrow suppression (infection resulting from granulocytopenia and other impaired body defenses, and hemorrhage secondary to thrombocytopenia). One case of anaphylaxis that resulted in acute cardiopulmonary arrest and required resuscitation has been reported. This occurred immediately after the intravenous administration of cytarabine. Severe and at times fatal CNS, GI and pulmonary toxicity (different from that seen with conventional therapy regimens of cytarabine) has been reported following some experimental cytarabine dose schedules. These reactions include reversible corneal toxicity, and hemorrhagic conjunctivitis, which may be prevented or diminished by prophylaxis with a local corticosteroid eye drop; cerebral and cerebellar dysfunction, including personality changes, somnolence and coma, usually reversible; severe gastrointestinal ulceration, including pneumatosis cystoides intestinalis leading to peritonitis; sepsis and liver abscess; pulmonary edema, liver damage with increased hyperbilirubinemia; bowel necrosis; and necrotizing colitis. Rarely, severe skin rash, leading to desquamation has been reported. Complete alopecia is more commonly seen with experimental high dose therapy than with standard cytarabine treatment programs. If experimental high dose therapy is used, do not use a diluent containing benzyl alcohol. Cases of cardiomyopathy with subsequent death has been reported following experimental high dose therapy with cytarabine in combination with cyclophosphamide when used for bone marrow transplant preparation. A syndrome of sudden respiratory distress, rapidly progressing to pulmonary edema and radiographically pronounced cardiomegaly has been reported following experimental high dose therapy with cytarabine used for the treatment of relapsed leukemia from one institution in 16/72 patients. The outcome of this syndrome can be fatal. Two patients with childhood acute myelogenous leukemia who received intrathecal and intravenous cytarabine at conventional doses (in addition to a number of other concomitantly administered drugs) developed delayed progressive ascending paralysis resulting in death in one of the two patients. Use in Pregnancy Cytarabine can cause fetal harm when administered to a pregnant woman. Cytarabine causes abnormal cerebellar development in the neonatal hamster and is teratogenic to the rat fetus. There are no adequate and well-controlled studies in pregnant women. Women of childbearing potential should be advised to avoid becoming pregnant."
mesna,,1 INDICATIONS AND USAGE MESNEX is indicated as a prophylactic agent in reducing the incidence of ifosfamide-induced hemorrhagic cystitis. Limitation of Use: MESNEX is not indicated to reduce the risk of hematuria due to other pathological conditions such as thrombocytopenia. MESNEX is a cytoprotective agent indicated as a prophylactic agent in reducing the incidence of ifosfamide-induced hemorrhagic cystitis. ( 1 ) Limitation of Use: MESNEX is not indicated to reduce the risk of hematuria due to other pathological conditions such as thrombocytopenia. ( 1 ),
lactate,,"INDICATIONS AND USAGE Ammonium Lactate Cream, 12% is indicated for the treatment of ichthyosis vulgaris and xerosis.","WARNING Sun exposure to areas of the skin treated with Ammonium Lactate Cream, 12% should be minimized or avoided (see PRECAUTIONS section). The use of Ammonium Lactate Cream, 12% should be discontinued if any hypersensitivity is observed."
DMSO,Topical Analgesic,Temporarily relieve discomfort caused by mild muscle and joint pain,For external use only.
dopamine,,"1 INDICATIONS AND USAGE Dopamine Hydrochloride in Dextrose Injection is indicated to improve hemodynamic status in patients in distributive shock, or shock due to reduced cardiac output. Dopamine HCl in Dextrose Injection is a catecholamine indicated to improve hemodynamic status in patients in shock. ( 1 )",
estrone,Folliculinum 15C ...Relieves discomfort and aches associated with PMS Natrum muriaticum 12C ...Relieves water retention and irritability Sepia 12C...Relieves bloating and lower back pain.,"Temporary relieves premenstrual symptoms such as: bloating, water retention, minor aches, lower back pain, discomfort, emotional changes, irritability",Enter section text here
glutamine,Uses: Temporarily supports the body to rebalance Human Growth Hormone (HGH) output.,"Uses: Temporarily supports the body to rebalance Human Growth Hormone (HGH) output. Symptoms of imbalanced HGH may include: poor muscle/ fat balance, dry wrinkled-looking skin, low energy, sleeplessness, weak immune system.*","Warnings: Not for use on children. If symptoms continue to recur, or if sleeplessness persists continuously for more than two weeks, consult a physician. As with all medicines, if you are pregnant or breast feeding , consult a heatlh professional before using this product. Keep out of reach of children . In case of overdose, get medical or contact a Poison Control Center right away. Keep out of reach of children."
glycine,"PURPOSE: Adenosinum Cyclophosphoricum - fatigue,** Calcium D-Pantothenate - insomnia,** Cholinum – brain fog,** Dimethyl Glycine - fatigue,** Nadidum - fatigue,** Riboflavinum - headache,** Ubidecarenonum – forgetfulness** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.","USES: For temporary relief of mental fatigue, for improving concentration, for improving energy, and chronic fatigue.** **Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated.","WARNINGS: If pregnant or breast-feeding, ask a health care professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
glycerol,,"1 INDICATIONS AND USAGE Glycerol phenylbutyrate oral liquid is indicated for use as a nitrogen-binding agent for chronic management of patients with urea cycle disorders (UCDs) who cannot be managed by dietary protein restriction and/or amino acid supplementation alone. Glycerol phenylbutyrate oral liquid must be used with dietary protein restriction and, in some cases, dietary supplements (e.g., essential amino acids, arginine, citrulline, protein-free calorie supplements). Limitations of Use: Glycerol phenylbutyrate oral liquid is not indicated for the treatment of acute hyperammonemia in patients with UCDs because more rapidly acting interventions are essential to reduce plasma ammonia levels. The safety and efficacy of glycerol phenylbutyrate oral liquid for the treatment of N -acetylglutamate synthase (NAGS) deficiency has not been established. Glycerol phenylbutyrate is a nitrogen-binding agent indicated for chronic management of patients with urea cycle disorders (UCDs) who cannot be managed by dietary protein restriction and/or amino acid supplementation alone. Glycerol phenylbutyrate oral liquid must be used with dietary protein restriction and, in some cases, dietary supplements. ( 1 ) Limitations of Use: Glycerol phenylbutyrate oral liquid is not indicated for treatment of acute hyperammonemia in patients with UCDs. ( 1 ) Safety and efficacy for treatment of N-acetylglutamate synthase (NAGS) deficiency has not been established. ( 1 )",
bicarbonate,,INDICATIONS AND USAGE Elliotts B Solution is indicated as a diluent for the intrathecal administration of methotrexate sodium and cytarabine for the prevention or treatment of meningeal leukemia or lymphocytic lymphoma.,WARNINGS Intrathecal administration of drugs such as methotrexate sodium and cytarabine should be performed by personnel skilled in the technique of lumbar puncture under the supervision of a physician who is experienced in the use of cancer chemotherapeutic agents. The labeling for methotrexate sodium and cytarabine should be consulted.
histamine,Purpose Topical Analgesic,"Indications: For the temporary relief of minor aches and pains of muscles and joints, associated with arthritis, simple back aches, strains, bruises, and sprains.","Warnings: For external use only. Avoid contact with eyes. If symptoms persist for more than seven days, discontinue use and consult a physician. Keep out of reach of children. If swallowed, consult a physician ASAP. Do not apply to wounds or damaged skin. Do not bandage tightly. If pregnant or breast feeding, contact a physician prior to use."
potassium,,"1 INDICATIONS AND USAGE Potassium Chloride Extended-Release Tablets are indicated for the treatment and prophylaxis of hypokalemia with or without metabolic alkalosis, in patients for whom dietary management with potassium-rich foods or diuretic dose reduction is insufficient. Potassium Chloride Extended-Release Tablets are a potassium salt, indicated for the treatment and prophylaxis of hypokalemia with or without metabolic alkalosis in patients for whom dietary management with potassium-rich foods or diuretic dose reduction is insufficient. (1)",
epinephrine,,"1 INDICATIONS AND USAGE Epinephrine is a non-selective alpha and beta adrenergic agonist indicated to increase mean arterial blood pressure in adult patients with hypotension associated with septic shock. ( 1.1 ) 1.1 Hypotension associated with Septic Shock Epinephrine Injection USP, 1 mg/10 mL (0.1 mg/mL) is indicated to increase mean arterial blood pressure in adult patients with hypotension associated with septic shock.",
triiodothyronine,"INDICATIONS: For the temporary relief of Fatigue, anxiety, confusion and no energy.","INDICATIONS: For the temporary relief of Fatigue, anxiety, confusion and no energy.","WARNINGS: If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
magnesium,Purpose Acid reducer,Uses treats frequent heartburn (occurs 2 or more days a week) not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect,"Warnings Allergy alert : Do not use if you are allergic to esomeprazole. Esomeprazole may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If an allergic reaction occurs, stop use and seek medical help right away."
melatonin,"For the temporary relief symptoms due to aging, scuh as: poor memory impaired concentration",USES TAKE 15 MINUTES BEFORE MEALS,"WARNINGS Stop use and ask doctor if symptoms persist more than 5 days. If pregnant or breast-feeding ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Contains ethyl alcohol 30%"
sodium,Purpose Anticavity,Use aids in the prevention of dental cavities,Warnings for this product
niacin,,"INDICATIONS AND USAGE Supplementation of the diet with ten essential vitamins. Supplementation of the diet with fluoride for caries prophylaxis. M ultivitamin with Fluoride 0.5 mg Chewable Tablets provide 0.5 mg fluoride in tablet form for children 4-6 years of age in areas where the drinking water fluoride level is less than 0.3 ppm, and for children 6 years of age and above where the drinking water contains 0.3 through 0.6 ppm of fluoride. Multivitamin with Fluoride 0.5 mg Chewable Tablets supply significant amounts of Vitamins A, C, D, E, thiamine, riboflavin, niacin, vitamin B6, vitamin B12, and folate to supplement the diet, and to help assure that nutritional deficiencies of these vitamins will not develop. Thus, in a single easy-to-use preparation, children obtain ten essential vitamins and the important mineral, fluoride. The American Academy of Pediatrics recommends that children up to age 16, in areas where drinking water contains less than optimal levels of fluoride, receive daily fluoride supplements. Children using Multivitamin with Fluoride 0 . 5 mg Chewable Tablets regularly should receive semiannual dental examinations. The regular brushing of teeth and attention to good oral hygiene practices are also essential. Multivitamin with Fluoride Chewable Tablets is a prescription product for the clinical dietary management of the metabolic processes of caries prophylaxis and provides supplementation of the diet with ten essential vitamins.","WARNING Keep out of the reach of children. In case of accidental overdose, seek professional assistance or contact a Poison Control Center immediately. CAUTION Do not eat or drink dairy products within one hour of fluoride administration. Should be chewed. This product, as all chewable tablets, is not recommended for children under age 4 due to risk of choking."
nicotine,Purpose Stop smoking aid,"Use reduces withdrawal symptoms, including nicotine craving, associated with quitting smoking","Warnings If you are pregnant or breast-feeding, only use this medicine on the advice of your health care provider. Smoking can seriously harm your child. Try to stop smoking without using any nicotine replacement medicine. This medicine is believed to be safer than smoking. However, the risks to your child from this medicine are not fully known. Ask a doctor before use if you have a sodium-restricted diet heart disease, recent heart attack, or irregular heartbeat. Nicotine can increase your heart rate. high blood pressure not controlled with medication. Nicotine can increase your blood pressure. stomach ulcer or diabetes history of seizures Ask a doctor or pharmacist before use if you are using a non-nicotine stop smoking drug taking prescription medicine for depression or asthma. Your prescription dose may need to be adjusted. Stop use and ask doctor if mouth problems occur persistent indigestion or severe sore throat occurs irregular heartbeat or palpitations occur you get symptoms of nicotine overdose such as nausea, vomiting, dizziness, diarrhea, weakness and rapid heartbeat you have symptoms of an allergic reaction (such as difficulty breathing or rash) Keep out of reach of children and pets Nicotine lozenges may have enough nicotine to make children and pets sick. If you need to remove the lozenge, wrap it in paper and throw away in the trash. In case of overdose, get medical help or contact a Poison Control Center right away (1-800-222-1222)."
nitrite,,Uses: See symptoms on front panel. Relieves hot flash followed by cold sweats *,
nitrous,,,
norepinephrine,,"1 INDICATIONS AND USAGE Norepinephrine bitartrate injection is indicated to raise blood pressure in adult patients with severe, acute hypotension. Norepinephrine bitartrate injection is a catecholamine indicated for restoration of blood pressure in adult patients with acute hypotensive states. ( 1 )",
